Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Area,Item
2007,56.0,3170.0,20.68,Libya,Maize
2009,1083.0,28707.01,26.55,India,Sweet potatoes
2009,1010.0,40.0,24.33,Angola,"Rice, paddy"
2005,494.0,7914.31,24.66,Pakistan,"Rice, paddy"
1994,1274.0,84.45,21.25,Burundi,Maize
2008,2702.0,1597.0,27.34,Indonesia,Potatoes
2002,537.0,34226.0,7.82,Canada,Soybeans
1999,1083.0,46195.0,27.24,India,Soybeans
1992,2041.0,687.86,23.81,Mauritius,Potatoes
1994,1083.0,61357.0,25.33,India,Maize
1997,1010.0,40.0,24.06,Angola,Potatoes
1997,1410.0,3846.0,27.01,Dominican Republic,"Rice, paddy"
2011,758.0,65961.1,23.55,Mexico,Soybeans
1996,1761.0,101621.67,27.6,Brazil,Yams
2002,1020.0,1670.0,21.55,Zambia,Cassava
1992,250.0,17182.0,2.78,Kazakhstan,Soybeans
2005,1410.0,3515.56,27.03,Dominican Republic,Potatoes
1994,1274.0,84.45,21.25,Burundi,"Rice, paddy"
1990,1522.0,15373.0,12.88,Chile,"Rice, paddy"
2002,1083.0,42482.56,26.75,India,Potatoes
2013,56.0,3548.0,19.93,Libya,Potatoes
1994,854.0,9580.0,16.12,Portugal,Yams
2008,1410.0,5409.43,26.56,Dominican Republic,Sorghum
2006,74.0,68.0,28.12,Qatar,Potatoes
1995,1083.0,61257.0,25.5,India,Potatoes
1992,832.0,88227.6,12.89,Italy,Sweet potatoes
1995,534.0,25598.0,20.12,Australia,Sweet potatoes
2000,2875.0,39406.48,27.14,Malaysia,Sweet potatoes
2012,2274.0,11469.74,17.46,Ecuador,Sweet potatoes
2007,3240.0,82439.06,22.48,Colombia,"Rice, paddy"
2013,282.0,1.52,28.53,Mali,Maize
1996,1083.0,56114.0,25.55,India,Sweet potatoes
1992,537.0,29387.0,8.05,Canada,Wheat
1993,758.0,34468.93,19.56,Mexico,Sorghum
2007,1976.0,5283.93,24.55,Honduras,Wheat
1994,495.0,16582.0,15.1,South Africa,Sweet potatoes
1997,1761.0,110276.11,27.57,Brazil,Yams
1999,636.0,33614.0,17.14,Spain,Sorghum
2000,1083.0,44957.52,27.03,India,Wheat
1996,1761.0,101621.67,17.83,Brazil,Sorghum
2013,537.0,81659.8,9.19,Canada,Wheat
2007,758.0,64501.28,22.18,Mexico,"Rice, paddy"
1990,1083.0,75000.0,25.68,India,Cassava
2000,1522.0,14264.54,5.95,Chile,Sweet potatoes
2007,3240.0,82439.06,27.45,Colombia,Potatoes
2008,494.0,4946.79,26.33,Pakistan,"Rice, paddy"
1998,1784.0,3009.39,26.48,El Salvador,Potatoes
2001,1784.0,2543.7,25.92,El Salvador,Cassava
1997,207.0,909.0,19.54,Tunisia,Sorghum
2007,1180.0,88.0,23.68,Uganda,Sweet potatoes
1994,1761.0,84312.78,26.9,Brazil,"Rice, paddy"
1995,1622.0,24062.0,27.68,Thailand,Potatoes
2008,700.0,43413.01,10.04,Germany,Potatoes
2008,652.0,5130.8,18.61,Greece,"Rice, paddy"
2008,534.0,42935.38,17.32,Australia,Sweet potatoes
2013,1083.0,45620.0,26.69,India,Wheat
1997,636.0,34023.0,13.02,Spain,Wheat
1990,494.0,5299.0,27.0,Pakistan,Maize
1991,1784.0,4096.0,26.08,El Salvador,Maize
1997,1440.0,16.35,27.74,Haiti,Potatoes
1990,758.0,34468.93,16.0,Mexico,Maize
1996,1083.0,56114.0,25.31,India,Sweet potatoes
1991,2387.0,289.9,26.95,Guyana,Cassava
2007,1083.0,27422.77,25.98,India,"Rice, paddy"
1990,591.0,26156.0,17.46,Argentina,Sorghum
2004,1083.0,35113.0,26.25,India,"Rice, paddy"
2011,758.0,65961.1,25.28,Mexico,Sorghum
2012,494.0,990.09,24.87,Pakistan,Sweet potatoes
1992,1712.0,2144.31,26.26,Sri Lanka,Cassava
2005,151.0,24.75,30.02,Niger,"Rice, paddy"
1993,1761.0,75658.33,17.93,Brazil,Soybeans
1994,216.0,692.0,20.02,Iraq,Soybeans
2001,700.0,33423.49,5.59,Germany,Maize
2008,1513.0,112.11,19.79,Madagascar,Wheat
2013,593.0,39440.0,13.27,Turkey,"Rice, paddy"
2012,1522.0,9830.72,13.48,Chile,"Rice, paddy"
1999,537.0,44293.0,9.53,Canada,Potatoes
1997,562.0,41.46,9.1,Armenia,Maize
2000,1083.0,44957.52,25.35,India,"Rice, paddy"
2010,534.0,42169.39,19.09,Australia,Sweet potatoes
1990,652.0,7420.0,18.05,Greece,Soybeans
2011,3240.0,53797.0,27.18,Colombia,Maize
1991,534.0,17866.0,17.85,Australia,Potatoes
1992,691.0,2280.0,7.9,Tajikistan,Sorghum
2005,1083.0,35342.0,25.72,India,"Rice, paddy"
1992,1440.0,11.52,26.81,Haiti,Sorghum
1994,1761.0,84312.78,19.15,Brazil,Soybeans
2010,1083.0,40093.69,25.71,India,Soybeans
2007,1083.0,27422.77,27.23,India,Cassava
1993,1083.0,66388.0,25.92,India,"Rice, paddy"
2001,1485.0,628.79,16.59,Albania,Wheat
2011,56.0,3548.0,20.29,Libya,Wheat
1994,1083.0,61357.0,26.55,India,Maize
1990,1220.0,29517.0,10.4,United Kingdom,Potatoes
1994,1083.0,61357.0,26.74,India,Wheat
2010,151.0,11.49,30.32,Niger,"Rice, paddy"
2005,1996.0,13506.02,19.99,Guatemala,Wheat
2011,565.0,79491.7,8.48,Ukraine,Potatoes
2002,537.0,34226.0,7.48,Canada,Wheat
1990,1220.0,29517.0,10.94,United Kingdom,Potatoes
1999,51.0,4823.0,22.28,Egypt,Wheat
2013,494.0,0.92,27.38,Pakistan,Maize
1997,3240.0,16005.0,22.9,Colombia,Maize
1992,1761.0,67003.89,24.97,Brazil,Soybeans
2006,83.0,12.12,27.15,Bahrain,Potatoes
2002,656.0,792.6,7.26,Lithuania,Potatoes
1991,56.0,87.0,19.47,Libya,Wheat
2001,494.0,11871.0,25.18,Pakistan,Maize
1992,2274.0,2012.0,22.19,Ecuador,"Rice, paddy"
1990,593.0,29918.0,10.51,Turkey,Soybeans
2013,1651.0,877.19,27.29,Guinea,Sorghum
2010,618.0,8306.31,6.71,Belarus,Maize
1994,1410.0,4971.0,26.78,Dominican Republic,Potatoes
2000,92.0,39.09,27.66,Mauritania,"Rice, paddy"
2004,1181.0,48.28,20.44,Malawi,Wheat
2013,758.0,59920.18,17.34,Mexico,Wheat
2002,1187.0,89.88,26.92,Ghana,"Rice, paddy"
2009,1083.0,28707.01,27.14,India,Sweet potatoes
1993,1537.0,1934.5,7.48,Switzerland,Soybeans
2001,51.0,5039.0,21.45,Egypt,Maize
1996,1440.0,14.44,26.85,Haiti,Yams
2005,1083.0,35342.0,24.12,India,Wheat
2001,534.0,32710.0,18.39,Australia,Wheat
2011,1113.0,1638.74,11.02,Croatia,Potatoes
1992,1342.0,0.04,24.81,Central African Republic,Maize
2001,758.0,31373.3,22.6,Mexico,Soybeans
1997,1668.0,79821.18,15.39,Japan,Soybeans
1996,700.0,31683.0,7.42,Germany,Wheat
2009,591.0,61586.56,18.16,Argentina,Soybeans
1996,636.0,33236.0,17.01,Spain,"Rice, paddy"
1999,216.0,508.0,20.85,Iraq,Soybeans
2012,1712.0,2469.47,29.96,Sudan,Yams
1998,589.0,5280.0,10.35,Hungary,"Rice, paddy"
2007,2702.0,1597.0,26.88,Indonesia,Cassava
2004,1712.0,1733.07,26.64,Sri Lanka,Potatoes
2001,686.0,282.02,25.79,Senegal,"Rice, paddy"
1993,447.0,148.68,10.53,Azerbaijan,"Rice, paddy"
1998,1083.0,49157.0,27.32,India,"Rice, paddy"
1992,282.0,35.42,27.2,Mali,Sorghum
1991,636.0,39147.0,16.37,Spain,Potatoes
2002,2702.0,1597.0,27.5,Indonesia,"Rice, paddy"
1990,2274.0,2537.0,21.82,Ecuador,Plantains and others
2001,346.0,13842.57,18.56,Morocco,Potatoes
1994,1342.0,2.16,25.39,Central African Republic,Plantains and others
2004,657.0,3094.08,20.31,Zimbabwe,Sorghum
1997,1513.0,139.89,19.97,Madagascar,Soybeans
2004,282.0,8.67,28.07,Mali,Yams
2002,1410.0,4018.07,27.08,Dominican Republic,Cassava
2008,686.0,603.9,25.5,Senegal,Cassava
2013,534.0,45177.18,20.14,Australia,Sweet potatoes
1995,1118.0,2152.0,9.75,Ireland,Potatoes
2007,534.0,32446.25,18.84,Australia,Sorghum
2010,593.0,38554.69,19.27,Turkey,Wheat
1991,1761.0,58349.44,25.57,Brazil,Soybeans
2011,534.0,47632.99,12.16,Australia,Maize
1990,59.0,994.0,25.86,Saudi Arabia,Sorghum
1996,216.0,616.0,20.13,Iraq,"Rice, paddy"
2004,494.0,8903.48,26.96,Pakistan,Sorghum
1997,1220.0,35490.0,8.87,United Kingdom,Wheat
2000,1761.0,140423.0,25.71,Brazil,Soybeans
2000,758.0,34468.93,20.19,Mexico,Potatoes
1999,495.0,26098.8,19.27,South Africa,Soybeans
2009,1300.0,13475.41,16.96,Uruguay,Wheat
2005,250.0,3666.62,4.0,Kazakhstan,Wheat
2006,2875.0,39406.48,27.29,Malaysia,Maize
2009,3142.0,105.0,25.08,Papua New Guinea,Sweet potatoes
1999,1187.0,114.13,26.74,Ghana,Sweet potatoes
1999,1668.0,79821.18,15.79,Japan,Sweet potatoes
2000,1083.0,44957.52,25.62,India,Sorghum
1991,2274.0,2377.0,22.18,Ecuador,Potatoes
2004,832.0,83810.0,12.75,Italy,Maize
1994,1010.0,25.5,24.04,Angola,Sweet potatoes
2008,151.0,12.04,29.3,Niger,Wheat
2009,216.0,1429.27,23.87,Iraq,Maize
1990,1212.0,157.0,19.39,Rwanda,Wheat
2002,1083.0,42482.56,25.76,India,Soybeans
2004,630.0,1578.0,16.92,Kenya,Cassava
2006,1010.0,40.0,24.14,Angola,Wheat
2012,1410.0,6316.61,26.84,Dominican Republic,Potatoes
2006,591.0,65872.12,18.35,Argentina,Maize
1992,624.0,1497.0,7.94,Sweden,Potatoes
2008,1668.0,58750.0,15.55,Japan,Sweet potatoes
1996,282.0,26.51,27.64,Mali,Sorghum
2005,2702.0,1597.0,27.48,Indonesia,Maize
1992,3240.0,15305.94,27.38,Colombia,Maize
2012,534.0,48687.88,11.79,Australia,Sorghum
1996,495.0,19508.0,18.49,South Africa,Potatoes
2001,591.0,63700.17,17.71,Argentina,Maize
1997,89.0,401.22,17.84,Algeria,Potatoes
1991,630.0,3469.0,16.26,Kenya,Sweet potatoes
1996,1083.0,56114.0,27.06,India,Maize
2012,1083.0,52980.0,26.33,India,Sweet potatoes
2004,1220.0,31223.91,9.86,United Kingdom,Potatoes
2006,59.0,4046.34,26.24,Saudi Arabia,Potatoes
2002,92.0,3.2,27.84,Mauritania,Sweet potatoes
2009,250.0,8716.14,3.03,Kazakhstan,"Rice, paddy"
1993,534.0,23899.0,17.42,Australia,Wheat
1999,1712.0,1766.91,26.32,Sri Lanka,Sweet potatoes
2006,1083.0,37423.0,24.72,India,Sorghum
2008,2041.0,781.32,24.19,Mauritius,Potatoes
2010,593.0,38554.69,13.8,Turkey,"Rice, paddy"
2001,1485.0,628.79,16.59,Albania,Maize
2006,92.0,1.7,27.82,Mauritania,Sweet potatoes
1990,1761.0,49695.0,25.29,Brazil,Wheat
1996,630.0,6344.0,16.44,Kenya,"Rice, paddy"
2001,383.0,27.63,24.61,Eritrea,Wheat
2001,1342.0,22.87,25.28,Central African Republic,Potatoes
2011,346.0,13697.0,18.53,Morocco,Soybeans
1998,593.0,30162.0,11.72,Turkey,Soybeans
1993,618.0,8306.31,5.61,Belarus,Maize
2013,1083.0,45620.0,27.44,India,"Rice, paddy"
2002,2280.0,5715.36,27.0,Nicaragua,Plantains and others
1995,700.0,30090.0,9.16,Germany,Soybeans
1999,494.0,20450.0,25.5,Pakistan,Soybeans
2005,2702.0,1597.0,25.59,Indonesia,Soybeans
2004,1761.0,214725.0,27.72,Brazil,Maize
2004,2274.0,29799.84,17.73,Ecuador,"Rice, paddy"
1990,537.0,29568.0,9.48,Canada,Wheat
2008,1732.0,5857.0,13.55,New Zealand,Potatoes
2002,534.0,26651.0,17.73,Australia,Wheat
2011,2875.0,41562.16,27.27,Malaysia,Maize
2013,1083.0,45620.0,25.94,India,Sorghum
2007,1083.0,27422.77,27.51,India,Sorghum
2004,56.0,7306.63,20.46,Libya,Maize
2007,1761.0,304031.0,22.19,Brazil,"Rice, paddy"
1993,1110.0,3984.0,8.48,Austria,Potatoes
2010,1440.0,27.85,27.19,Haiti,Yams
2013,854.0,10126.8,16.77,Portugal,Potatoes
1993,282.0,33.19,27.55,Mali,Potatoes
2004,758.0,26433.14,19.56,Mexico,Sorghum
2012,1187.0,378.97,26.86,Ghana,Yams
2002,494.0,10881.83,27.0,Pakistan,Soybeans
1997,1180.0,88.0,24.04,Uganda,Sweet potatoes
2013,1181.0,1500.27,19.68,Malawi,Sorghum
2009,1010.0,40.0,24.33,Angola,Soybeans
1998,1761.0,118930.56,22.35,Brazil,Potatoes
2006,608.0,2103.5,9.08,Bulgaria,Maize
1993,2702.0,1597.0,26.88,Indonesia,Sweet potatoes
1993,1410.0,4971.0,26.41,Dominican Republic,Sweet potatoes
2004,593.0,28831.0,10.99,Turkey,Sorghum
1998,1083.0,49157.0,25.46,India,Wheat
2012,216.0,1979.27,20.7,Iraq,Sorghum
2007,1712.0,1439.8,26.57,Sri Lanka,Maize
2012,1712.0,2469.47,29.96,Sudan,Maize
2012,2331.0,633.92,27.4,Suriname,"Rice, paddy"
2005,867.0,78265.0,11.55,France,Maize
2000,1668.0,79821.18,15.95,Japan,Maize
1991,216.0,692.0,19.68,Iraq,Sorghum
2001,593.0,25539.0,15.11,Turkey,Soybeans
2010,2274.0,31637.12,17.79,Ecuador,Maize
1996,758.0,34468.93,20.79,Mexico,Potatoes
1991,1976.0,6289.7,24.61,Honduras,Potatoes
1992,758.0,34468.93,19.97,Mexico,Wheat
1998,1712.0,1532.41,27.13,Sri Lanka,Sorghum
1993,494.0,4945.0,23.08,Pakistan,"Rice, paddy"
2012,593.0,42610.59,12.71,Turkey,Wheat
2000,1162.0,1468.0,11.45,Slovenia,Wheat
2011,1020.0,1670.0,20.88,Zambia,"Rice, paddy"
1990,1761.0,49695.0,24.64,Brazil,Potatoes
1990,1083.0,75000.0,25.64,India,Soybeans
1996,1010.0,40.0,24.11,Angola,Cassava
1990,2875.0,39406.48,27.21,Malaysia,"Rice, paddy"
2006,1300.0,9143.45,17.13,Uruguay,Soybeans
2004,867.0,76099.0,11.34,France,Sorghum
1995,51.0,4391.0,21.56,Egypt,"Rice, paddy"
2000,1761.0,140423.0,25.35,Brazil,Potatoes
1994,494.0,6183.0,26.13,Pakistan,Maize
1998,250.0,6416.14,3.25,Kazakhstan,Potatoes
2000,2702.0,1597.0,26.77,Indonesia,Sweet potatoes
2012,534.0,48687.88,17.47,Australia,Sweet potatoes
2013,534.0,45177.18,12.19,Australia,"Rice, paddy"
2001,2702.0,1597.0,27.52,Indonesia,"Rice, paddy"
1998,416.0,17.0,20.05,Botswana,Sorghum
1994,537.0,29206.0,6.52,Canada,Potatoes
2004,748.0,1.28,28.9,Burkina Faso,Potatoes
2006,534.0,35900.0,12.51,Australia,Wheat
2009,56.0,6046.0,19.93,Libya,Wheat
1996,494.0,11955.0,24.43,Pakistan,Sweet potatoes
2005,1738.0,10227.74,17.02,Peru,"Rice, paddy"
2009,636.0,35199.0,17.45,Spain,Sorghum
2004,2274.0,29799.84,22.33,Ecuador,Cassava
2011,1651.0,663.23,27.51,Guinea,Sorghum
1997,867.0,109792.0,11.59,France,Maize
2012,51.0,13991.0,21.55,Egypt,Wheat
2006,1083.0,37423.0,26.04,India,Maize
1998,1083.0,49157.0,26.12,India,Maize
1990,1996.0,12004.33,19.64,Guatemala,Plantains and others
1990,867.0,97701.0,11.96,France,Sorghum
2007,3240.0,82439.06,22.48,Colombia,Yams
2013,534.0,45177.18,12.19,Australia,Sorghum
1990,2702.0,2432.0,27.11,Indonesia,Sweet potatoes
1996,2280.0,2041.7,26.76,Nicaragua,Potatoes
2000,1651.0,230.06,27.12,Guinea,Sorghum
1998,3240.0,60687.0,23.07,Colombia,Maize
2008,56.0,3824.0,20.61,Libya,Potatoes
1993,1083.0,66388.0,25.5,India,"Rice, paddy"
2006,1761.0,238716.0,26.26,Brazil,Cassava
1992,1083.0,70791.0,26.82,India,Sweet potatoes
2011,2331.0,936.24,27.42,Suriname,Soybeans
1990,1761.0,49695.0,18.47,Brazil,"Rice, paddy"
1998,2702.0,1597.0,27.28,Indonesia,Soybeans
2007,2274.0,14156.16,17.44,Ecuador,Cassava
2012,1604.0,1372.47,25.18,Cameroon,"Rice, paddy"
1990,593.0,29918.0,17.94,Turkey,Soybeans
2006,495.0,26857.0,15.26,South Africa,Sorghum
2005,591.0,65437.73,17.32,Argentina,Wheat
2006,1761.0,238716.0,19.35,Brazil,Sorghum
2011,537.0,62107.2,6.14,Canada,Soybeans
2011,691.0,264.6,8.45,Tajikistan,Potatoes
2004,416.0,17.0,19.41,Botswana,Sorghum
2011,847.0,5740.44,11.69,Belgium,Potatoes
2005,250.0,3666.62,4.0,Kazakhstan,Maize
2013,1083.0,45620.0,25.98,India,Wheat
2001,346.0,13842.57,18.73,Morocco,Wheat
2000,758.0,34468.93,25.16,Mexico,Wheat
1997,494.0,16936.0,26.29,Pakistan,Sweet potatoes
1990,534.0,17866.0,14.16,Australia,"Rice, paddy"
2006,1083.0,37423.0,26.28,India,Cassava
2010,416.0,17.0,19.98,Botswana,Sorghum
2010,778.0,9586.03,8.84,Netherlands,Maize
1998,593.0,30162.0,19.92,Turkey,Wheat
2011,250.0,10656.6,2.67,Kazakhstan,Sorghum
1998,758.0,34468.93,21.38,Mexico,Sorghum
1996,637.0,17425.0,10.71,Romania,"Rice, paddy"
1993,748.0,17.0,28.58,Burkina Faso,Maize
2005,2280.0,9391.92,27.2,Nicaragua,Potatoes
1991,1761.0,58349.44,21.43,Brazil,Wheat
1991,3142.0,121.0,25.04,Papua New Guinea,Cassava
2012,346.0,13697.0,18.2,Morocco,Wheat
2010,216.0,1612.61,21.97,Iraq,Sorghum
2001,216.0,837.47,20.8,Iraq,Wheat
1995,1083.0,61257.0,25.76,India,Potatoes
2004,1083.0,35113.0,27.29,India,"Rice, paddy"
1993,1083.0,66388.0,24.74,India,Cassava
2002,1083.0,42482.56,26.15,India,Soybeans
2012,1083.0,52980.0,25.09,India,Wheat
1994,282.0,30.96,27.05,Mali,"Rice, paddy"
2005,1410.0,3515.56,26.9,Dominican Republic,Cassava
